id,status,severity,scope,summary,evidence_or_next_action
P15-UI-DEFAULT,CLOSED,high,ui,"Existing targetTypeCombo and display policy moved out of collapsed file preview into always-visible Test Target group; no duplicate control created","logs/p15/ui/default/ordinary_default.json"
P15-UI-SCALE,CLOSED,medium,ui,"Default visibility and interaction pass at Qt scale multipliers 1.00/1.25/1.50 on host DPR 2.0","logs/p15/ui/default; logs/p15/ui/scale_125; logs/p15/ui/scale_150"
P15-UI-INTERACTION,CLOSED,high,ui,"Final delivery EXE ordinary launch: open list, select civil 0x55, INIT freezes, RESET unlocks, close and reopen from same directory","logs/p15/ui/final_interaction/interaction_result.json"
P15-UI-IDENTITY,CLOSED,high,identity,"Common Release and final delivery EXE hashes match; version dialog exposes executable, build id, config and working directory","logs/p15/identity/program_identity.json"
P15-LABEL-NUMERIC,CLOSED,high,annotation,"Enabled key-part visual text is numeric only; original names, IDs, coordinates, visibility, protocol and target association remain unchanged","logs/p15/numeric_labels/after/p15_stable_numbering.txt"
P15-LABEL-STABILITY,CLOSED,high,annotation,"Stable definition index survives hidden item 2, reappearance, reordered container, motion and overlay rebuild; 16 layout cases pass","logs/p15/numeric_labels/after/label_tests.csv"
P15-BUILD,CLOSED,high,build,"DataDrivenTestQT Release, UI test, Windows x64 renderer and AArch64 renderer build; normal board launcher passes identity/preflight/Mali/800x800","logs/p15/build_result.json; logs/p15/deployment/p15_normal_launcher_smoke.log"
P15-P14-MEDIA-AUDIT,CLOSED_READ_ONLY,high,evidence,"All 15 historical P14 media files match manifest; current P15 pass fully decodes selected 8; none is user ordinary-entry evidence","logs/p15/p14_media_audit/p14_media_readonly_audit.json"
P15-ORDINARY-WEATHER,REOPENED,high,production-visual,"Current ordinary original-1.txt MWIR run reaches Cloudy/6 km but full DDS images show no recognizable cloud and board reports visibleCloudVolumes=0; rain/snow not exercised by default run","logs/p15/ordinary_feedback_probe/frame_review.json"
P15-ORDINARY-PLUME,REOPENED,high,production-visual,"Current ordinary run has formalTauReady/coreVisible/haloVisible internally but no separately recognizable plume around the tiny dark target; root cause not isolated","logs/p15/ordinary_feedback_probe/frame_review.json"
P15-P14-DELIVERY-PATH,OPEN,low,delivery,"P14 receipt advertises D:/HwaSimIR/deliverables/HwaSimIR_P14_Delivery but that path is absent; historical package was found under logs/p14/deliverables","logs/p15/p14_media_audit/p14_media_readonly_audit.json"
P15-INDEPENDENT-GRAPHICS-SAMPLE,NOT_RUN_NOT_REQUIRED,low,scope,"P15 did not implement particle/transparent/weather production behavior, so no new independent graphics sample was needed or claimed","Production effects remain unchanged and open where ordinary evidence is missing"
P14-C-CAL,OPEN,high,calibration,"Generic materials, atmosphere and sensor chain are not independently calibrated","Keep NOT_VERIFIED_CALIBRATION"
P14-C-DOMAIN,OPEN,medium,coverage,"High-altitude support remains the P14 declared discrete measured cells plus in-cell interpolation, not an all-weather Cartesian domain","No MODTRAN expansion was authorized or performed in P15"
P14-D-QT-PAINT,OPEN,medium,windows-gui,"Historical Qt paint long-tail issue remains separate from board latency","No performance matrix was rerun in P15"
P15-BUILD-SANDBOX,HISTORICAL_FAILED_RECOVERED,low,build,"First Windows renderer build attempt was denied access to per-user MSBuild props in restricted sandbox; approved identical Release build then passed","Failure retained in logs/p15/build_HwaSimIR_win_x64_release.log; successful build identity in logs/p15/build_result.json"
