id,area,status,evidence_or_boundary
P13-001,原始输入保护,CLOSED,"1.txt SHA-256 f2c3db00...dd7901；4318 行；未修改未改名"
P13-002,解析器表头空行,CLOSED,"严格全文件解析；表头和空行不误报；错误保留源行号"
P13-003,输入逐项对应,CLOSED,"4318 accepted=4318 sourceSeq=4318 products；不跳行不复用"
P13-004,四类时间语义,CLOSED,"source/send/simulation/videoPTS 写入 event_timeline 与 media_qc"
P13-005,大气旧数据保护,CLOSED,"旧 1724 行字节前缀保留；NIR 1005 行不变"
P13-006,原轨迹两波段覆盖,CLOSED,"8636/8636 查询有效；tau 0.713294182389..0.970613474789"
P13-007,50km独立扩展,CLOSED,"336 完整顶点；720 次实际 MODTRAN 分量运行；与原轨迹分开声明"
P13-008,覆盖失败策略,CLOSED,"无外推无夹距无缺失填零无 tau=1 回退"
P13-009,共同数据身份,CLOSED,"控制端与板端绑定 LUT 和 coverage manifest 哈希"
P13-010,正常材质,CLOSED,"P5MaterialView=0；正式 M1；SWIR/MWIR 通用双材料 QC PASS"
P13-011,尾焰不可见,CLOSED,"复现 P12 失败后完成数据/初始化/缓存/draw/遮挡/合成闭环；on/off 像素 PASS"
P13-012,云雨雪普通混合,CLOSED,"原轨迹云/雨/雪全量 DDS 媒体；世界云不绑定目标；未改轨迹高度"
P13-013,两波段完整录像,CLOSED,"最终 SWIR 与 MWIR 各 4318 帧可播放 MP4"
P13-014,最终SWIR冷启动,CLOSED,"最终同 ELF accepted-to-writer 冷启动 max 49.420 ms；>80=0"
P13-015,最终同版本60s,CLOSED,"SWIR/MWIR 原轨迹约 71.95 s；同 ELF/配置；性能 PASS"
P13-016,300s复杂天气,CLOSED,"最终同 ELF MWIR Snow 18000 帧 300.002 s；性能 PASS"
P13-017,停止和录像完成,CLOSED,"STOP/渲染/DDS/末帧/mux 分项；约 10 s 完整退出"
P13-018,raw与显示映射,CLOSED,"固定映射及 AGC 独立 PFM/RGB8/stats；相同 raw 哈希"
P13-019,Stage3 tau-only边界,RETAINED,"不把 Stage3 扩成未验证辐射链；严格回归 PASS"
P13-020,Stage4状态边界,RETAINED,"无毁伤模型；无 engineState->BrightSpot；无 strikeFlag->ThermalHotspot"
P13-021,真实标定,OPEN,"NOT_VERIFIED_CALIBRATION"
P13-022,正式能见度范围,OPEN_BY_DESIGN,"本轮只声明 6 km；其他值 fail-closed"
P13-023,Qt实际paint间隔,OPEN,"少量 >80 ms；产品序列/提交/录像连续，不与板端硬门槛混称"
P13-024,具体装备红外特征,NOT_CLAIMED,"通用材料和热源仅作工程因果基准"
