"issue_id","milestone","trigger","evidence_level","status","baseline_identity","candidate_identity","fix_files","test_result","remaining"
"P12-A01","P12A","Ordinary three-program startup has no displayed image","CURRENT_REAL_GUI_AND_COUNTERS","FIXED_WITH_FINAL_EVIDENCE","Git 739179c; ordinary Windows encoder absent; RK readback pending","Windows Hwa 53d213a6; RK ELF 2d579136; Video a832e28f","HwaSim_IR.vcxproj; stage0_build.ps1; HwaSimIR.cpp; VideoDisplay UI/worker; DataDrivenTestQT config","Mixed ordinary run 1500/1500/1500 and real widget; all-Windows path also displays","Literal human RESET/INIT/START/STOP click sequence was not automated"
"P12-A02","P12A","Missing/stale VideoDisplay identity filters all VideoStatus","CURRENT_RUNTIME_CONFIG_AND_SAMPLES","FIXED_WITH_FINAL_EVIDENCE","P11 conditional 0/0 failure mechanism","Video config b53a17c0; strict 1001/2","DdsVideoReceiverWorker.*; HwaSim_IR_VideoDisplay.*; executable-adjacent NetworkConfig.ini","statusAccepted>0; statusIdentityRejected=0; real image","Identity filter retained; no wildcard fallback"
"P12-A03","P12A","Identity topic differs from legacy_channel topic","CURRENT_STATUS_DISCOVERY","FIXED_WITH_FINAL_EVIDENCE","legacy HwaSimIR.Video.precise.H264","HwaSimIR.Video.1001.2.H264 discovered from VideoStatus","VideoDisplay status discovery and telemetry","Zero-argument receiver bound identity topic; no forced topic","Legacy topic remains explicit compatibility only"
"P12-A04","P12A/P12D","Late receiver, receiver restart and same-process re-INIT recovery","CURRENT_REAL_GUI_AND_LIFECYCLE","FIXED_WITH_FINAL_EVIDENCE","P11 explicit-argument lifecycle","ordinary-lifecycle-20260918-043854","No filter weakening; final prewarm/run-loop fixes","Late receiver max 601 decoded; restarted receiver max 1202; SWIR-MWIR-SWIR and two restarts PASS","None for declared lifecycle matrix"
"P12-A05","P12A","RK simMode=1 keeps RTM_copy_ram deferred after pre-INIT OrderedQueue setup","CURRENT_BOARD_LOG","FIXED_WITH_FINAL_EVIDENCE","P11 ELF 3a616afe","RK ELF 2d579136","HwaSimIR.cpp","First real business frame attaches pending RAM output; products conserved","Latest/OrderedQueue semantics unchanged"
"P12-A06","P12A","NIR RGB16F rejected by formal RGBA16F alpha gate","CURRENT_BOARD_LOG_AND_GUI","FIXED_WITH_FINAL_EVIDENCE","shared alphaBits>=16 gate","format-aware gate in RK ELF 2d579136","HwaSimIR.cpp","NIR requiredAlphaBits=0 and 720/720/720; SWIR/MWIR still require RGBA16F","NIR remains compatibility, not P12 formal band"
"P12-A07","P12A/P12C","Manual INIT outside formal SWIR/MWIR atmospheric domain can appear as black image","CURRENT_UI_ERROR_CAPTURE","FIXED_WITH_FINAL_EVIDENCE","old 1.txt observer altitude 11000.04785 m","ordinary_demo_1km input and explicit coverage preflight","DataDrivenTestQT UI/preflight and p12 ordinary input builder","Invalid SWIR/MWIR input rejected before INIT with visible error; valid MWIR starts","No silent clamp or fallback"
"P12-B01","P12B","P11 SWIR integration/reflection units, tau-near-zero and M1 formula gates","UNCHANGED_P11_REFERENCE_PLUS_P12_REGRESSION","REGRESSION","P11 independent reference 194 checks PASS","P12 final configuration preserves Stage3 tau-only and M1 boundaries","No formula rewrite; final stage3/stage4 strict checks","Reference/contract gates remain PASS; current DDS images are nonblack","Real calibration is separate"
"P12-B02","P12B","All four models need real ordinary-program SWIR/MWIR near and alternate views","CURRENT_RK_H264_DDS_IMAGES","FIXED_WITH_FINAL_EVIDENCE","P11 representative used small civil target","asset_views 16 cases","p12_asset_view_audit.py; p12 ordinary target case; Targets p12 mappings","aim120/aim9x/f22/f35 x SWIR/MWIR x near/side = 16/16 PASS","Geometry/material/pose/display only; not real equipment signatures"
"P12-B03","P12B","Portable texture/material-ID/case-sensitive model loading","CURRENT_ASSET_AUDIT_AND_IMAGES","REGRESSION","P10/P11 portable derived assets; AIM9X triangulation warning retained","p12b/assets/audit.json and 16 received images","p5_asset_audit.py; IRSceneMaterialMapper.cpp; derived mappings only","Models load and render on Linux; material-ID diagnostics present","AIM9X non-simple polygon warning is known; original models not overwritten"
